date_trunc;nspname;relname;relkind;reltuples;relpages;pg_relation_size
2015-09-19 17:22:04-03;pg_catalog;pg_aggregate;r;121;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_aggregate_fnoid_index;i;121;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_am;r;5;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_am_name_index;i;5;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_am_oid_index;i;5;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_amop;r;403;4;32768
2015-09-19 17:22:04-03;pg_catalog;pg_amop_fam_strat_index;i;403;4;32768
2015-09-19 17:22:04-03;pg_catalog;pg_amop_oid_index;i;403;4;32768
2015-09-19 17:22:04-03;pg_catalog;pg_amop_opr_fam_index;i;403;4;32768
2015-09-19 17:22:04-03;pg_catalog;pg_amproc;r;291;3;24576
2015-09-19 17:22:04-03;pg_catalog;pg_amproc_fam_proc_index;i;291;4;32768
2015-09-19 17:22:04-03;pg_catalog;pg_amproc_oid_index;i;291;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_attrdef;r;0;0;0
2015-09-19 17:22:04-03;pg_catalog;pg_attrdef_adrelid_adnum_index;i;0;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_attrdef_oid_index;i;0;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_attribute;r;2273;42;352256
2015-09-19 17:22:04-03;pg_catalog;pg_attribute_relid_attnam_index;i;2273;16;131072
2015-09-19 17:22:04-03;pg_catalog;pg_attribute_relid_attnum_index;i;2273;11;90112
2015-09-19 17:22:04-03;pg_catalog;pg_auth_members;r;0;0;8970240
2015-09-19 17:22:04-03;pg_catalog;pg_auth_members_member_role_index;i;0;1;4571136
2015-09-19 17:22:04-03;pg_catalog;pg_auth_members_role_member_index;i;0;1;4571136
2015-09-19 17:22:04-03;pg_catalog;pg_authid;r;202462;6227;51011584
2015-09-19 17:22:04-03;pg_catalog;pg_authid_oid_index;i;202462;1124;9207808
2015-09-19 17:22:04-03;pg_catalog;pg_authid_rolname_index;i;202462;1584;12976128
2015-09-19 17:22:04-03;pg_catalog;pg_available_extension_versions;v;0;0;0
2015-09-19 17:22:04-03;pg_catalog;pg_available_extensions;v;0;0;0
2015-09-19 17:22:04-03;pg_catalog;pg_cast;r;196;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_cast_oid_index;i;196;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_cast_source_target_index;i;196;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_class;r;292;8;65536
2015-09-19 17:22:04-03;pg_catalog;pg_class_oid_index;i;292;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_class_relname_nsp_index;i;292;4;32768
2015-09-19 17:22:04-03;pg_catalog;pg_collation;r;43;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_collation_name_enc_nsp_index;i;43;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_collation_oid_index;i;43;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_constraint;r;2;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_constraint_conname_nsp_index;i;2;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_constraint_conrelid_index;i;2;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_constraint_contypid_index;i;2;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_constraint_oid_index;i;2;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_conversion;r;132;3;24576
2015-09-19 17:22:04-03;pg_catalog;pg_conversion_default_index;i;132;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_conversion_name_nsp_index;i;132;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_conversion_oid_index;i;132;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_cursors;v;0;0;0
2015-09-19 17:22:04-03;pg_catalog;pg_database;r;2;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_database_datname_index;i;2;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_database_oid_index;i;2;2;16384
2015-09-19 17:22:04-03;pg_catalog;pg_db_role_setting;r;0;0;8192
2015-09-19 17:22:04-03;pg_catalog;pg_db_role_setting_databaseid_rol_index;i;0;1;16384
2015-09-19 17:22:04-03;pg_catalog;pg_default_acl;r;0;0;0
2015-09-19 17:22:04-03;pg_catalog;pg_default_acl_oid_index;i;0;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_default_acl_role_nsp_obj_index;i;0;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_depend;r;6274;47;417792
2015-09-19 17:22:04-03;pg_catalog;pg_depend_depender_index;i;6274;29;270336
2015-09-19 17:22:04-03;pg_catalog;pg_depend_reference_index;i;6274;28;262144
2015-09-19 17:22:04-03;pg_catalog;pg_description;r;3497;31;253952
2015-09-19 17:22:04-03;pg_catalog;pg_description_o_c_o_index;i;3497;16;131072
2015-09-19 17:22:04-03;pg_catalog;pg_enum;r;0;0;0
2015-09-19 17:22:04-03;pg_catalog;pg_enum_oid_index;i;0;1;8192
2015-09-19 17:22:04-03;pg_catalog;pg_enum_typid_label_index;i;0;1;8192
