date_trunc;datid;datname;numbackends;xact_commit;xact_rollback;blks_read;blks_hit;tup_returned;tup_fetched;tup_inserted;tup_updated;tup_deleted;conflicts;stats_reset;temp_files;temp_bytes;deadlocks;blk_read_time;blk_write_time
2015-09-19 17:22:04-03;309465;avaliacao;0;12408;0;2299;3540170;107144540;75660;0;0;0;0;2015-09-10 21:49:20-03;0;0;0;0;0
2015-09-19 17:22:04-03;335964;avaliacao_auditoria;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:04-03;274165;ftomasini_urcamp;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:04-03;273444;pgwatch;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:04-03;12070;postgres;2;20376;30;2460;590326;9417321;133814;30;0;0;0;2015-09-01 21:38:21-03;0;0;0;0;0
2015-09-19 17:22:04-03;104050;sagu_fametro;0;9410;2;1738;2142349;62603051;56291;2;0;0;0;2015-09-12 21:39:00-03;0;0;0;0;0
2015-09-19 17:22:04-03;309423;smbd;0;21059;25;2531;737780;9278556;218391;34;43;17;0;2015-09-03 09:14:15-03;0;0;0;0;0
2015-09-19 17:22:04-03;309438;smdbyii;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:04-03;12065;template0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:04-03;1;template1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:14-03;309465;avaliacao;0;12408;0;2299;3540170;107144540;75660;0;0;0;0;2015-09-10 21:49:20-03;0;0;0;0;0
2015-09-19 17:22:14-03;335964;avaliacao_auditoria;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:14-03;274165;ftomasini_urcamp;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:14-03;273444;pgwatch;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:14-03;12070;postgres;2;20395;30;2577;593755;9425803;135999;30;0;0;0;2015-09-01 21:38:21-03;0;0;0;0;0
2015-09-19 17:22:14-03;104050;sagu_fametro;0;9410;2;1738;2142349;62603051;56291;2;0;0;0;2015-09-12 21:39:00-03;0;0;0;0;0
2015-09-19 17:22:14-03;309423;smbd;0;21059;25;2531;737780;9278556;218391;34;43;17;0;2015-09-03 09:14:15-03;0;0;0;0;0
2015-09-19 17:22:14-03;309438;smdbyii;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:14-03;12065;template0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
2015-09-19 17:22:14-03;1;template1;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0
