date_trunc;relid;indexrelid;schemaname;relname;indexrelname;idx_blks_read;idx_blks_hit
2015-09-19 17:22:04-03;2600;2650;pg_catalog;pg_aggregate;pg_aggregate_fnoid_index;2;4
2015-09-19 17:22:04-03;2601;2651;pg_catalog;pg_am;pg_am_name_index;0;0
2015-09-19 17:22:04-03;2601;2652;pg_catalog;pg_am;pg_am_oid_index;0;0
2015-09-19 17:22:04-03;2602;2756;pg_catalog;pg_amop;pg_amop_oid_index;0;0
2015-09-19 17:22:04-03;2602;2654;pg_catalog;pg_amop;pg_amop_opr_fam_index;69;493
2015-09-19 17:22:04-03;2602;2653;pg_catalog;pg_amop;pg_amop_fam_strat_index;69;813
2015-09-19 17:22:04-03;2603;2757;pg_catalog;pg_amproc;pg_amproc_oid_index;0;0
2015-09-19 17:22:04-03;2603;2655;pg_catalog;pg_amproc;pg_amproc_fam_proc_index;69;30968
2015-09-19 17:22:04-03;2604;2657;pg_catalog;pg_attrdef;pg_attrdef_oid_index;1;2
2015-09-19 17:22:04-03;2604;2656;pg_catalog;pg_attrdef;pg_attrdef_adrelid_adnum_index;1;2
2015-09-19 17:22:04-03;1249;2658;pg_catalog;pg_attribute;pg_attribute_relid_attnam_index;1;1
2015-09-19 17:22:04-03;1249;2659;pg_catalog;pg_attribute;pg_attribute_relid_attnum_index;116;55895
2015-09-19 17:22:04-03;1261;2694;pg_catalog;pg_auth_members;pg_auth_members_role_member_index;0;0
2015-09-19 17:22:04-03;1261;2695;pg_catalog;pg_auth_members;pg_auth_members_member_role_index;0;0
2015-09-19 17:22:04-03;1260;2676;pg_catalog;pg_authid;pg_authid_rolname_index;92;2848
2015-09-19 17:22:04-03;1260;2677;pg_catalog;pg_authid;pg_authid_oid_index;138;3070
2015-09-19 17:22:04-03;2605;2661;pg_catalog;pg_cast;pg_cast_source_target_index;46;1772
2015-09-19 17:22:04-03;2605;2660;pg_catalog;pg_cast;pg_cast_oid_index;0;0
2015-09-19 17:22:04-03;1259;2662;pg_catalog;pg_class;pg_class_oid_index;46;32820
2015-09-19 17:22:04-03;1259;2663;pg_catalog;pg_class;pg_class_relname_nsp_index;70;232
2015-09-19 17:22:04-03;3456;3085;pg_catalog;pg_collation;pg_collation_oid_index;1;1
2015-09-19 17:22:04-03;3456;3164;pg_catalog;pg_collation;pg_collation_name_enc_nsp_index;1;1
2015-09-19 17:22:04-03;2606;2666;pg_catalog;pg_constraint;pg_constraint_contypid_index;0;0
2015-09-19 17:22:04-03;2606;2667;pg_catalog;pg_constraint;pg_constraint_oid_index;0;0
2015-09-19 17:22:04-03;2606;2664;pg_catalog;pg_constraint;pg_constraint_conname_nsp_index;0;0
2015-09-19 17:22:04-03;2606;2665;pg_catalog;pg_constraint;pg_constraint_conrelid_index;0;0
2015-09-19 17:22:04-03;2607;2668;pg_catalog;pg_conversion;pg_conversion_default_index;0;0
2015-09-19 17:22:04-03;2607;2669;pg_catalog;pg_conversion;pg_conversion_name_nsp_index;0;0
2015-09-19 17:22:04-03;2607;2670;pg_catalog;pg_conversion;pg_conversion_oid_index;0;0
2015-09-19 17:22:04-03;1262;2671;pg_catalog;pg_database;pg_database_datname_index;46;63769
2015-09-19 17:22:04-03;1262;2672;pg_catalog;pg_database;pg_database_oid_index;46;124640
2015-09-19 17:22:04-03;2964;2965;pg_catalog;pg_db_role_setting;pg_db_role_setting_databaseid_rol_index;46;157704
2015-09-19 17:22:04-03;826;827;pg_catalog;pg_default_acl;pg_default_acl_role_nsp_obj_index;2;24
2015-09-19 17:22:04-03;826;828;pg_catalog;pg_default_acl;pg_default_acl_oid_index;0;0
2015-09-19 17:22:04-03;2608;2674;pg_catalog;pg_depend;pg_depend_reference_index;11;792
2015-09-19 17:22:04-03;2608;2673;pg_catalog;pg_depend;pg_depend_depender_index;7;36
2015-09-19 17:22:04-03;2609;2675;pg_catalog;pg_description;pg_description_o_c_o_index;3;2
2015-09-19 17:22:04-03;3501;3502;pg_catalog;pg_enum;pg_enum_oid_index;0;0
2015-09-19 17:22:04-03;3501;3534;pg_catalog;pg_enum;pg_enum_typid_sortorder_index;0;0
